fat	adj. 肥胖的 n. 脂肪
develop	v. 发展；开发
poem	n. 诗
continent	n. 大陆
drought	n. 干旱
warn	v. 警告
honey	n. 蜂蜜；亲爱的
concentrate	v. 集中
litre	n. 升
pack	v. 打包
client	n. 客户
photo	n. 照片
there	adv. 那里
bowling	n. 保龄球
elephant	n. 大象
toilet	n. 厕所
as	conj. 当...时；像；因为 prep. 作为
reputation	n. 名声
timetable	n. 时间表
component	n. 成分
crew	n. 全体船员/机组人员
toy	n. 玩具
look	v. 看；看起来
diploma	n. 文凭；毕业证书
involve	v. 涉及
pace	n. 步伐；速度
frog	n. 青蛙
overweight	adj. 超重的
have/has	v. 有；吃
athlete	n. 运动员
elegant	adj. 优雅的
campus	n. 校园
relevant	adj. 相关的
airport	n. 机场
lung	n. 肺
column	n. 专栏；圆柱
plumber	n. 水管工
all	adj. 所有的 pron. 全部
more	adj./adv. 更多的
mind	n. 头脑 v. 介意
welcome	v./adj. 欢迎
sand	n. 沙
perceive	v. 感知
precious	adj. 珍贵的
biology	n. 生物学
cast	v. 投；铸造 n. 演员表
among	prep. 在...之中 (三者以上)
deposit	n. 存款；押金 v. 存放
panel	n. 面板；专家组
health	n. 健康
core	n. 核心
guilty	adj. 内疚的；有罪的
search	v./n. 搜索
aside	adv. 在旁边；除...以外
legal	adj. 合法的
brother	n. 兄弟
our	pron. 我们的
marathon	n. 马拉松
wrong	adj. 错误的
landscape	n. 风景
supper	n. 晚餐
rocket	n. 火箭
introduce	v. 介绍
veteran	n. 老兵
shadow	n. 影子
leave	v. 离开；留下
fold	v. 折叠
whale	n. 鲸鱼
charge	v. 收费；充电；控告
fly	v. 飞 n. 苍蝇
guarantee	v./n. 保证
coast	n. 海岸
dress	n. 连衣裙 v. 穿衣
couple	n. 夫妇；一对
lose	v. 丢失；输
show	v. 展示 n. 演出
restore	v. 恢复
hike	v. 徒步旅行
hell	n. 地狱
water	n. 水 v. 浇水
least	adj. 最少的
how	adv. 如何
save	v. 保存；节省；救
late	adj. 迟的；晚的
relate	v. 联系
north	n. 北方
digital	adj. 数码的；数字的
deserve	v. 值得；应得
wait	v. 等待
speed	n. 速度
jam	n. 果酱；拥堵
herself	pron. 她自己
rock	n. 岩石；摇滚
metre	n. 米
one	num. 一
rank	n. 等级 v. 排名
welfare	n. 福利
surgery	n. 手术
fox	n. 狐狸
sick	adj. 生病的
pull	v. 拉
analyse	v. 分析
passage	n. 通道；段落
scale	n. 规模；比例；磅秤
purpose	n. 目的
bamboo	n. 竹子
flame	n. 火焰
creature	n. 生物
perform	v. 表演；执行
gentleman	n. 绅士
block	n. 街区；块 v. 阻塞
before	prep. 在...之前 conj. 在...以前
newspaper	n. 报纸
nowadays	adv. 如今
candle	n. 蜡烛
certificate	n. 证书
official	adj. 官方的 n. 官员
severe	adj. 严厉的；剧烈的
protein	n. 蛋白质
strong	adj. 强壮的
topic	n. 话题
blackboard	n. 黑板
size	n. 大小；尺寸
therefore	adv. 因此
up	adv. 向上
lonely	adj. 孤独的
gymnastics	n. 体操
secretary	n. 秘书
act	v. 行动；表演 n. 行为；法案
indoor	adj. 户内的
tail	n. 尾巴
remember	v. 记得
tissue	n. 组织；纸巾
fry	v. 油炸
lunar	adj. 月亮的
rough	adj. 粗糙的
reception	n. 接待；前台
grilled	adj. 烤的
land	n. 陆地 v. 着陆
email	n. 电子邮件 v. 发邮件
duty	n. 责任；义务；关税
deaf	adj. 聋的
contribute	v. 贡献；捐献
format	n. 格式
objective	n. 目标 adj. 客观的
commission	n. 委员会；佣金
capable	adj. 有能力的
military	adj. 军事的
humble	adj. 谦逊的
cola	n. 可乐
check	v. 检查 n. 支票
fork	n. 叉子
process	n. 过程 v. 处理
variable	adj. 可变的 n. 变量
equipment	n. 设备
side	n. 侧面；一方
weed	n. 杂草
clever	adj. 聪明的
hot	adj. 热的
hang	v. 悬挂
rope	n. 绳子
potato	n. 土豆
devote	v. 致力于；奉献
bread	n. 面包
bookshop	n. 书店
data	n. 数据
motorway	n. 高速公路
otherwise	adv. 否则
extra	adj. 额外的
depend	v. 依靠；取决于
test	n./v. 测试
identify	v. 识别
miss	v. 想念；错过
database	n. 数据库
spell	v. 拼写
crayon	n. 蜡笔
space	n. 空间；太空
peace	n. 和平
calendar	n. 日历
private	adj. 私人的
emphasis	n. 强调
fever	n. 发烧
chain	n. 链条；连锁店
trade	n. 贸易 v. 交易
farmer	n. 农民
volcano	n. 火山
case	n. 情况；箱子；案例
model	n. 模型；模特
think	v. 想；认为
sea	n. 海
halfway	adv. 中途
morning	n. 早晨
bunch	n. 束；串；群
garage	n. 车库
hook	n. 钩子
return	v. 返回；归还
disturb	v. 打扰
plenty	n. 丰富
equator	n. 赤道
proposal	n. 提议
nutrition	n. 营养
step	n. 步骤；台阶 v. 踩
OK	adj./adv. 好的
distribution	n. 分发；分配
egg	n. 蛋
police	n. 警察
fast	adj./adv. 快
able	adj. 能干的；有能力的
socialist	n. 社会主义者
bean	n. 豆
reward	n./v. 奖励
just	adv. 刚刚；只是 adj. 公正的
tiger	n. 老虎
enough	adj./adv. 足够的
himself	pron. 他自己
consume	v. 消费；消耗
trust	v./n. 信任
loud	adj. 大声的
visa	n. 签证
vice	n. 恶习；副职
desire	n./v. 渴望
amazing	adj. 令人惊叹的；了不起的
sorrow	n. 悲伤
band	n. 乐队；带子
institute	n. 学院；协会
IOT/Internet of things	n. 物联网
cloud	n. 云
worth	adj. 值得的 n. 价值
absolutely	adv. 绝对地；完全地
sit	v. 坐
clone	v./n. 克隆
flavour	n. 味道；风味
promote	v. 促进；提升
far	adj./adv. 远
engine	n. 引擎
compose	v. 作曲；组成
teapot	n. 茶壶
victim	n. 受害者
approach	v. 接近 n. 方法；途径
entry	n. 进入；条目
primary	adj. 主要的；初级的
definite	adj. 明确的；肯定的
speech	n. 演讲
sometimes	adv. 有时
well	adv. 好 n. 井
kettle	n. 水壶
passion	n. 激情
doll	n. 玩偶
merry	adj. 愉快的
hammer	n. 锤子
express	v. 表达 n. 快车
powder	n. 粉末
journalist	n. 记者
carry	v. 携带；搬运
sister	n. 姐妹
spy	n. 间谍
throw	v. 扔
tag	n. 标签
liberal	adj. 自由的；开明的
impossible	adj. 不可能的
domestic	adj. 国内的；家庭的
of	prep. ...的
decide	v. 决定
pioneer	n. 先锋
terminal	n. 终点站；终端
song	n. 歌
eagle	n. 鹰
like	v. 喜欢 prep. 像
waste	v. 浪费 n. 废物
guest	n. 客人
pink	adj. 粉红色的
chest	n. 胸部；箱子
acquire	v. 获得；取得；学到
his	pron. 他的
comprehension	n. 理解
be (am, is, are)	v. 是；存在
bow	v. 鞠躬 n. 弓
conservation	n. 保护；保存
federal	adj. 联邦的
only	adv. 只有
medium	adj. 中等的 n. 媒介
storm	n. 暴风雨
touch	v. 触摸；感动
guy	n. 家伙
puzzle	n. 谜题 v. 使困惑
faith	n. 信仰；信任
somehow	adv. 以某种方式
typical	adj. 典型的
document	n. 文件
alarm	n. 警报；闹钟 v. 使惊恐
flood	n. 洪水 v. 淹没
lift	v. 举起 n. 电梯
coal	n. 煤
agriculture	n. 农业
install	v. 安装
husband	n. 丈夫
become	v. 变成；成为
bathroom	n. 浴室；洗手间
treat	v. 对待；治疗；请客
PE/physical education	n. 体育
witness	n. 目击者 v. 见证
fetch	v. 取来
recipe	n. 食谱
country	n. 国家；乡村
rely	v. 依赖
opera	n. 歌剧
apologise	v. 道歉
lean	v. 倾斜；倚靠
call	v. 打电话；呼叫；称呼
contemporary	adj. 当代的
practice	n./v. 练习
defense	n. 防御；保卫
buy	v. 购买
mercy	n. 仁慈
enjoy	v. 享受；喜欢
vital	adj. 至关重要的
boot	n. 靴子
exit	n. 出口 v. 退出
row	n. 一排 v. 划船
web	n. 网；网络
grateful	adj. 感激的
society	n. 社会
quote	v. 引用
dismiss	v. 解雇；驳回
need	v./n. 需要
share	v. 分享 n. 份额
see	v. 看见；明白
allow	v. 允许；给予
tidy	adj. 整洁的
instrument	n. 仪器；乐器
else	adv. 其他
intervention	n. 干预
assess	v. 评估；评价
between	prep. 在...之间
hometown	n. 家乡
system	n. 系统
god	n. 神
fine	adj. 好的；晴朗的 n. 罚款
neighbourhood	n. 街区
hardly	adv. 几乎不
globe	n. 地球仪；球体
van	n. 货车
soul	n. 灵魂
and	conj. 和；并且
earthquake	n. 地震
sum	n. 总数
demand	v./n. 要求；需求
stationery	n. 文具
monitor	n. 显示器 v. 监控
alone	adj./adv. 单独的；独自
centre	n. 中心
occasion	n. 场合
celebrate	v. 庆祝
gradually	adv. 逐渐地
tonight	n. 今晚
source	n. 来源
twice	adv. 两次
route	n. 路线
signature	n. 签名
game	n. 游戏；比赛
let	v. 让
direct	adj. 直接的 v. 指挥；导演
select	v. 选择
for	prep. 为了
volleyball	n. 排球
pain	n. 痛苦
woman	n. 女人
sincere	adj. 真诚的
structure	n. 结构
train	n. 火车 v. 训练
taxi	n. 出租车
cell	n. 细胞；牢房；电池
unhappy	adj. 不快乐的
first	num./adv. 第一
cashier	n. 收银员
theme	n. 主题
camel	n. 骆驼
sudden	adj. 突然的
community	n. 社区
metal	n. 金属
out	adv. 出去
encounter	v./n. 遭遇；邂逅
adult	n. 成年人 adj. 成年的
soon	adv. 不久
survey	n./v. 调查
poster	n. 海报
saucer	n. 茶碟
party	n. 聚会；党派
without	prep. 没有
gate	n. 大门
pill	n. 药丸
rift	n. 裂缝
peak	n. 顶峰
occur	v. 发生
cruel	adj. 残忍的
grocery	n. 食品杂货店
storey	n. 楼层
recent	adj. 最近的
understand	v. 理解
editor	n. 编辑
destination	n. 目的地
golf	n. 高尔夫球
safe	adj. 安全的
pray	v. 祈祷
eye	n. 眼睛
abnormal	adj. 反常的；变态的
lot	n. 许多
superb	adj. 极好的
ticket	n. 票
shape	n. 形状
prove	v. 证明
weekday	n. 工作日
physical	adj. 身体的；物理的
wash	v. 洗
position	n. 位置；职位
craft	n. 工艺；手艺
nor	conj. 也不
victory	n. 胜利
face	n. 脸 v. 面对
prize	n. 奖品
glad	adj. 高兴的
tenth	num. 第十
guess	v. 猜
setting	n. 环境；设置
hesitate	v. 犹豫
together	adv. 一起
overseas	adv. 在海外
basis	n. 基础；根据
discrimination	n. 歧视
surname	n. 姓
ankle	n. 脚踝
opinion	n. 意见
workshop	n. 车间；研讨会
put	v. 放
polar	adj. 极地的
hear	v. 听见
audience	n. 观众；听众
innovation	n. 创新
focus	v./n. 聚焦；中心
queue	n. 队列 v. 排队
fireplace	n. 壁炉
ready	adj. 准备好的
mention	v. 提及
wealth	n. 财富
asset	n. 资产；有价值的人或物
quit	v. 停止；辞职
ancestor	n. 祖先
depth	n. 深度
torch	n. 手电筒；火把
feed	v. 喂养
garbage	n. 垃圾
senior	adj. 高级的；年长的
wrap	v. 包裹
off	adv. 离开；关掉
vet	n. 兽医
dizzy	adj. 晕眩的
carbon	n. 碳
toothache	n. 牙痛
record	n. 记录 v. 录音
bathtub	n. 浴缸
bottom	n. 底部
tiny	adj. 极小的
chair	n. 椅子
finger	n. 手指
pocket	n. 口袋
percent	n. 百分比
extinction	n. 灭绝
conclude	v. 推断；结束
noodle	n. 面条
subject	n. 科目；主题
principle	n. 原则
crisp	adj. 脆的
Internet	n. 互联网
debate	n./v. 辩论
fan	n. 扇子；迷
primitive	adj. 原始的
remove	v. 移除
beat	v. 击败；敲打 n. 节拍
screen	n. 屏幕
estimate	v./n. 估计
success	n. 成功
general	adj. 一般的；总的 n. 将军
officer	n. 军官；警官
examine	v. 检查
prejudice	n. 偏见
collect	v. 收集
bed	n. 床
accommodation	n. 住处；膳宿
bark	v. 吠叫 n. 树皮
toothbrush	n. 牙刷
now	adv. 现在
strike	v. 罢工；敲击
dolphin	n. 海豚
bag	n. 包；袋
label	n. 标签 v. 贴标签
measure	v. 测量 n. 措施
small	adj. 小的
shoulder	n. 肩膀
ruin	v./n. 毁坏
proof	n. 证明
pose	v. 摆姿势 n. 姿势
behind	prep. 在...后面 adv. 在后
correct	adj. 正确的 v. 改正
responsible	adj. 负责的
chopsticks	n. 筷子
acid	n. 酸 adj. 酸的
weak	adj. 虚弱的
special	adj. 特别的
chorus	n. 合唱
oxygen	n. 氧气
calculate	v. 计算
sell	v. 卖
astonish	v. 使惊讶
frontier	n. 边境；前沿
wine	n. 葡萄酒
stress	n. 压力 v. 强调
pole	n. 杆；极
aloud	adv. 大声地
room	n. 房间；空间
frequent	adj. 频繁的
method	n. 方法
false	adj. 错误的；假的
should	v. 应该
present	n. 礼物；现在 adj. 出席的
similar	adj. 相似的
sharp	adj. 锋利的；急剧的
crime	n. 犯罪
list	n. 清单 v. 列出
soccer	n. 足球
council	n. 委员会
gap	n. 缺口；差距
disappointed	adj. 失望的
sneeze	v. 打喷嚏
shift	v. 转移 n. 轮班
wing	n. 翅膀
republic	n. 共和国
rescue	v./n. 营救
throughout	prep. 遍及；贯穿
advance	v./n. 前进；提前；预付
grasp	v. 抓住；领会
reveal	v. 揭露
illustrate	v. 举例说明
throat	n. 喉咙
jaw	n. 下巴
weigh	v. 称重
artist	n. 艺术家；画家
found	v. 建立；创立
relay	n. 接力 v. 转播
help	v./n. 帮助
rain	n. 雨 v. 下雨
above	prep. 在...上方 adj. 上面的
government	n. 政府
communist	n. 共产主义者
shelter	n. 避难所；遮蔽
beach	n. 海滩
city	n. 城市
unknown	adj. 未知的
effect	n. 效果；影响
floor	n. 地板；楼层
commit	v. 承诺；犯罪
critical	adj. 批评的；关键的
contrast	n./v. 对比
declare	v. 宣布；声明
stare	v. 盯着看
pot	n. 锅
evaluate	v. 评估
chess	n. 国际象棋
resident	n. 居民
rapid	adj. 迅速的
channel	n. 频道；海峡
extraordinary	adj. 非凡的
differ	v. 不同
gesture	n. 手势
sufficient	adj. 充足的
spring	n. 春天；泉水
hit	v. 打；击中
address	n. 地址；演讲 v. 处理；致辞
hotdog	n. 热狗
tunnel	n. 隧道
means	n. 手段；方法
boy	n. 男孩
discipline	n. 纪律；学科
aunt	n. 阿姨；姑姑；婶婶
injure	v. 伤害
my	pron. 我的
deal	v. 处理 n. 交易
spray	v. 喷射 n. 喷雾
south	n. 南方
bad	adj. 坏的；糟糕的
applaud	v. 鼓掌；喝彩
ours	pron. 我们的(东西)
sofa	n. 沙发
contradict	v. 反驳；矛盾
tablet	n. 药片；平板电脑
every	adj. 每个
madam	n. 夫人；女士
stay	v. 停留；保持
yes	adv. 是
club	n. 俱乐部
truck	n. 卡车
box	n. 盒子；箱
carpet	n. 地毯
president	n. 总统；主席
charity	n. 慈善；慈善机构
harm	n./v. 伤害
sheep	n. 绵羊
pollute	v. 污染
iron	n. 铁；熨斗 v. 熨
dead	adj. 死的
tobacco	n. 烟草
kiss	v./n. 亲吻
year	n. 年
mark	n. 记号；分数 v. 标记
advantage	n. 优势；利益
cash	n. 现金
power	n. 力量；权力
concept	n. 概念
letter	n. 信；字母
threat	n. 威胁
freeze	v. 结冰；冻结
embrace	v. 拥抱；包含
emperor	n. 皇帝
loaf	n. 一条(面包)
consequence	n. 后果
escape	v./n. 逃跑
jury	n. 陪审团
exact	adj. 确切的
slice	n. 薄片 v. 切片
hill	n. 小山
satisfy	v. 满足；使满意
plot	n. 情节；阴谋
copy	v. 复制 n. 副本
ball	n. 球；舞会
microscope	n. 显微镜
textbook	n. 教科书
solve	v. 解决
cheat	v. 欺骗；作弊
steel	n. 钢
inner	adj. 内部的
badminton	n. 羽毛球
by	prep. 在...旁；通过
forward	adv. 向前
urgent	adj. 紧急的
flashlight	n. 手电筒
tune	n. 曲调 v. 调整
lip	n. 嘴唇
nevertheless	adv. 然而
receive	v. 收到
sandstorm	n. 沙尘暴
tyre	n. 轮胎
profit	n. 利润
man	n. 男人；人类
grow	v. 生长；种植
body	n. 身体；躯体
regular	adj. 规则的；定期的
mistake	n. 错误
choice	n. 选择
kingdom	n. 王国
pretty	adj. 漂亮的
war	n. 战争
yesterday	n./adv. 昨天
era	n. 时代
organ	n. 器官；风琴
stage	n. 舞台；阶段
subsequent	adj. 随后的
grandparent/grandfather/granddad/grandpa/grandmother/grandma	n. 祖父母
benefit	n. 利益；津贴 v. 有益于
loose	adj. 松的
university	n. 大学
wrist	n. 手腕
close	v. 关闭 adj. 亲近的
railway	n. 铁路
wire	n. 金属丝；电线
would	v. 将 (will的过去式)
worse	adj. 更糟的
male	adj. 男性的 n. 男性
sew	v. 缝
kind	n. 种类 adj. 善良的
mode	n. 模式
aspect	n. 方面；外观
spare	adj. 多余的 v. 抽出(时间)
soil	n. 土壤
notion	n. 概念
smooth	adj. 光滑的
roast	v. 烤
efficient	adj. 高效的
in	prep. 在...里面
electronic	adj. 电子的
ourselves	pron. 我们自己
track	n. 轨道；踪迹
brain	n. 大脑
lemon	n. 柠檬
singular	adj. 单数的
rate	n. 比率；速度
clap	v. 拍手
nail	n. 指甲；钉子
architect	n. 建筑师
me	pron. 我(宾格)
sow	v. 播种
league	n. 联盟
roundabout	n. 环岛
bus	n. 公共汽车
hamburger	n. 汉堡包
snake	n. 蛇
dish	n. 盘子；菜肴
eventually	adv. 最终
negative	adj. 消极的；负面的
end	n. 结束；末端 v. 结束
virtual	adj. 虚拟的；实质上的
kid	n. 小孩 v. 开玩笑
budget	n. 预算
ago	adv. 以前
never	adv. 从不
shine	v. 照耀；发光
truth	n. 真相
pick	v. 挑选；采摘
manufacture	v. 制造
sugar	n. 糖
clear	adj. 清楚的 v. 清除
soap	n. 肥皂
high	adj. 高的
gather	v. 聚集；收集
goal	n. 目标；进球
road	n. 道路
foundation	n. 基础；地基；基金会
possession	n. 拥有；财产
carve	v. 雕刻；切(肉)
reject	v. 拒绝
if	conj. 如果
name	n. 名字 v. 命名
accident	n. 事故；意外
risk	n. 风险 v. 冒险
middle	adj. 中间的 n. 中间
decorate	v. 装饰
prepare	v. 准备
equal	adj. 平等的 v. 等于
earring	n. 耳环
